,Dia,Numero de contagiados,Incremento Porcentual
0,03-03-2020,1,
1,04-03-2020,3,200.0
2,05-03-2020,4,33.333333333333336
3,06-03-2020,5,25.0
4,07-03-2020,7,40.0
5,08-03-2020,10,42.857142857142854
6,09-03-2020,13,30.0
7,10-03-2020,17,30.76923076923077
8,11-03-2020,23,35.294117647058826
9,12-03-2020,33,43.47826086956522
10,13-03-2020,43,30.303030303030305
11,14-03-2020,61,41.86046511627907
12,15-03-2020,75,22.950819672131146
13,16-03-2020,156,108.0
14,17-03-2020,201,28.846153846153847
15,18-03-2020,238,18.407960199004975
16,19-03-2020,342,43.69747899159664
17,20-03-2020,434,26.900584795321638
18,21-03-2020,537,23.732718894009217
19,22-03-2020,632,17.690875232774673
20,23-03-2020,746,18.037974683544302
21,24-03-2020,922,23.592493297587133
22,25-03-2020,1142,23.86117136659436
23,26-03-2020,1306,14.360770577933451
